TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,LogReg_Fraud
TX000905,AC00480,354.76,2023-05-17 16:30:05,Debit,Detroit,D000135,54.252.249.33,M065,Branch,279,1,10141.92,2024-11-04 08:07:39,-46366654.0,False,0,2.4391242228890673,False,False,0.12679044735493294,False,False
TX001056,AC00317,13.48,2023-09-20 17:49:53,Debit,Las Vegas,D000279,32.169.88.41,M094,Online,20,3,521.88,2024-11-04 08:10:20,-35475627.0,True,3,2.704400825597686,False,True,0.02770138507004838,False,True
TX001901,AC00338,52.87,2023-03-31 17:25:22,Debit,Indianapolis,D000053,91.103.147.166,M055,Branch,70,1,960.96,2024-11-04 08:11:49,-50424387.0,False,4,0.976825986894859,False,False,0.24990592362238817,False,False
TX001536,AC00480,292.95,2023-02-16 16:23:11,Debit,Memphis,D000456,221.169.49.152,M055,Branch,56,1,1216.91,2024-11-04 08:11:13,-54143282.0,False,4,1.0876237238534625,False,False,0.24002405667812116,False,False
TX000160,AC00492,28.53,2023-05-31 16:37:39,Debit,Washington,D000310,215.97.143.157,M035,Online,99,1,8670.53,2024-11-04 08:06:30,-45156531.0,False,0,0.6462899769464842,False,False,0.22621724125550974,False,False
TX000754,AC00032,1020.73,2023-07-24 16:42:06,Debit,Fort Worth,D000676,166.79.195.157,M087,ATM,87,1,1119.61,2024-11-04 08:11:32,-40490966.0,False,1,1.071996377349302,False,False,0.14503198857961164,False,False
TX002243,AC00252,1169.59,2023-12-25 17:12:21,Debit,New York,D000484,142.184.68.230,M067,Online,114,1,5946.45,2024-11-04 08:11:33,-27183552.0,False,1,1.207751734031181,False,False,0.11996031686461217,False,False
TX001902,AC00384,179.0,2023-09-06 16:01:35,Debit,Houston,D000583,49.10.93.200,M053,ATM,121,1,7310.88,2024-11-04 08:10:18,-36691723.0,False,0,0.40772726330536296,False,False,0.25156846528251203,False,False
TX000792,AC00339,64.5,2023-08-17 18:32:19,Debit,Denver,D000076,18.72.115.111,M062,ATM,230,1,1351.24,2024-11-04 08:08:31,-38410572.0,False,4,1.5315226887170752,False,False,0.19301377478820392,False,False
TX000583,AC00475,295.64,2023-12-14 17:31:18,Debit,Jacksonville,D000225,170.225.23.251,M021,Online,82,1,1061.96,2024-11-04 08:10:41,-28132763.0,False,4,0.7809517779715021,False,False,0.250922925203166,False,False
TX002333,AC00297,414.64,2023-04-03 16:27:24,Debit,Mesa,D000698,158.129.49.240,M060,Branch,74,1,7253.22,2024-11-04 08:09:17,-50168513.0,False,0,0.9670045054974583,False,False,0.2369861198380639,False,False
TX000553,AC00158,245.93,2023-06-06 18:53:35,Debit,Fresno,D000096,219.98.242.240,M054,Branch,172,1,7986.63,2024-11-04 08:11:58,-44630303.0,False,0,0.8796482957353451,False,False,0.22243702267290755,False,False
TX000454,AC00235,107.47,2023-04-12 17:39:29,Debit,Austin,D000606,59.208.79.116,M037,Online,144,1,7517.5,2024-11-04 08:12:09,-49386760.0,False,0,0.6544234478362267,False,False,0.24850427060199004,False,False
TX002339,AC00081,4.47,2023-08-14 16:20:49,Debit,Baltimore,D000239,147.234.20.46,M033,Branch,132,1,1381.75,2024-11-04 08:10:24,-38677775.0,False,4,0.6660252433770047,False,False,0.22915428580221509,False,False
TX000337,AC00332,98.53,2023-01-16 16:31:48,Debit,Denver,D000684,119.163.214.161,M085,Branch,166,1,3564.8,2024-11-04 08:11:19,-56821171.0,False,4,0.7391627372367618,False,False,0.2333389295563979,False,False
TX000232,AC00430,705.6,2023-02-20 18:41:43,Debit,Phoenix,D000103,205.45.234.42,M071,Branch,124,3,14804.7,2024-11-04 08:09:04,-53789241.0,True,3,3.4447436425536018,True,True,-0.021347708759069217,True,True
TX001763,AC00124,819.48,2023-10-05 16:27:27,Debit,Virginia Beach,D000395,154.138.163.229,M038,ATM,26,1,1804.5,2024-11-04 08:08:37,-34184470.0,False,1,1.4448093305032386,False,False,0.14731158834993863,False,False
TX001594,AC00413,854.64,2023-11-07 18:57:13,Debit,Fort Worth,D000445,174.61.77.54,M038,Branch,118,1,2989.25,2024-11-04 08:08:54,-31324301.0,False,1,0.2855887281964701,False,False,0.17862611682415147,False,False
TX002033,AC00438,166.06,2023-07-14 16:06:06,Debit,Indianapolis,D000195,85.239.236.80,M020,ATM,172,1,5397.68,2024-11-04 08:07:04,-41356858.0,False,4,1.0711477838904988,False,False,0.24116875900923596,False,False
TX000927,AC00224,302.76,2023-11-16 17:14:01,Debit,Sacramento,D000640,221.23.158.87,M043,ATM,88,3,8583.39,2024-11-04 08:11:08,-30553027.0,True,3,2.033536082415846,False,True,0.037648205827633285,False,True
TX001722,AC00494,8.45,2023-02-10 17:45:34,Debit,Philadelphia,D000194,152.140.239.181,M022,ATM,141,1,1115.3,2024-11-04 08:07:47,-54656533.0,False,4,0.7017412751472605,False,False,0.23464958387434948,False,False
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,35,1,447.82,2024-11-04 08:09:22,-29597793.0,False,4,1.7422826350445269,False,False,0.19876793604061493,False,False
TX001312,AC00136,78.62,2023-07-31 16:46:29,Debit,Oklahoma City,D000521,80.90.35.146,M084,Branch,52,1,1360.85,2024-11-04 08:08:12,-39885703.0,False,4,1.140430843449213,False,False,0.24126148350419863,False,False
TX002314,AC00288,881.32,2023-08-31 17:29:03,Debit,El Paso,D000354,190.152.148.249,M015,Online,59,1,2287.93,2024-11-04 08:06:52,-37204669.0,False,1,0.9744468176218383,False,False,0.16544957208001698,False,False
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,90,1,4673.28,2024-11-04 08:11:12,-34266103.0,False,4,1.195482193464809,False,False,0.24666454227331075,False,False
