,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Customer_ID,TimeSinceLastTransaction,Fraud,Threat Level,Threat_Level
0,TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,81,1,5112.21,2024-11-04 08:08:08,42941,-49477134.0,0,0.0,Low
1,TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,141,1,13758.91,2024-11-04 08:09:35,53701,-42823516.0,0,0.0,Low
2,TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,56,1,1122.35,2024-11-04 08:07:04,49104,-41694656.0,0,0.0,Low
3,TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,25,1,8569.06,2024-11-04 08:09:06,78390,-47403415.0,0,0.0,Low
4,TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,172,1,781.68,2024-11-04 08:06:36,38695,-50165495.0,0,0.0,Low
5,TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,120,1,1021.88,2024-11-04 08:06:32,66300,-50428775.0,0,0.0,Low
6,TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,173,1,1528.81,2024-11-04 08:07:12,49109,-55003032.0,0,0.0,Low
7,TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,123,1,189.69,2024-11-04 08:07:06,80425,-30209271.0,0,0.0,Low
8,TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,134,1,299.93,2024-11-04 08:10:09,83088,-54400572.0,0,0.0,Low
9,TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,129,1,3465.54,2024-11-04 08:12:19,89962,-28309728.0,0,0.0,Low
10,TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,234,1,5109.97,2024-11-04 08:11:51,87644,-28129177.0,0,0.0,Low
11,TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,38,1,5750.89,2024-11-04 08:09:24,30833,-53105546.0,0,0.0,Low
12,TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,93,1,9146.19,2024-11-04 08:08:13,68918,-38929002.0,0,0.0,Low
13,TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,120,1,8974.93,2024-11-04 08:07:01,37202,-44629966.0,0,0.0,Low
14,TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,142,3,1402.5,2024-11-04 08:07:04,87069,-47655678.0,1,2.0,Medium
15,TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,96,1,1930.96,2024-11-04 08:07:09,22021,-52932193.0,0,0.0,Low
16,TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,158,5,673.35,2024-11-04 08:11:38,79787,-48958477.0,1,3.0,Medium
17,TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,95,1,2686.52,2024-11-04 08:11:59,68078,-50599761.0,0,0.0,Low
18,TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,197,1,1772.06,2024-11-04 08:11:22,69259,-56130770.0,0,0.0,Low
19,TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,283,1,1351.69,2024-11-04 08:08:30,55004,-35478768.0,0,0.0,Low
20,TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,257,1,9823.64,2024-11-04 08:06:58,96776,-55006954.0,0,0.0,Low
21,TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,168,3,9690.15,2024-11-04 08:11:13,65285,-35048713.0,1,2.0,Medium
22,TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,150,1,399.0,2024-11-04 08:07:50,61403,-51979466.0,0,0.0,Low
